baker,series,baker_age,baker_occupation,hometown,episode,signature_bake,show_stopper,technical,result
Annetha,1,NA,NA,NA,1,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",2,IN
David,1,NA,NA,NA,1,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",3,IN
Edd,1,NA,NA,NA,1,Caramel Cinnamon and Banana Cake,N/A,1,IN
Jasminder,1,NA,NA,NA,1,Fresh Mango and Passion Fruit Hummingbird Cake,N/A,NA,IN
Jonathan,1,NA,NA,NA,1,Carrot Cake with Lime and Cream Cheese Icing,Three Tiered White and Dark Chocolate with Almond and Cherry,9,IN
Louise,1,NA,NA,NA,1,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",NA,IN
Miranda,1,NA,NA,NA,1,"Triple Layered Brownie Meringue Cake
with Raspberry Cream",Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations,8,IN
Ruth,1,NA,NA,NA,1,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles,NA,IN
Lea,1,NA,NA,NA,1,Cranberry and Pistachio Cakewith Orange Flower Water Icing,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit,10,OUT
Mark,1,NA,NA,NA,1,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,NA,OUT
David,1,NA,NA,NA,2,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles,8,IN
Edd,1,NA,NA,NA,2,Oatmeal Raisin Cookie,Pink Macarons,6,IN
Jasminder,1,NA,NA,NA,2,Millionaires' Shortbread,Meringues with Chocolate and Space DustCoffee flavoured Eclairs,2,IN
Jonathan,1,NA,NA,NA,2,Honey and Candied Ginger Cookies,Meringues with Whiskey Cream,1,IN
Miranda,1,NA,NA,NA,2,Fresh Vanilla Biscuits with Royal Icing,Pistachio Macarons,3,IN
Ruth,1,NA,NA,NA,2,Peanut Shortbread withSalted Peanut Caramel,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs,5,IN
Annetha,1,NA,NA,NA,2,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs,7,OUT
Louise,1,NA,NA,NA,2,Stained Glass Window Shortbread,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons",4,OUT
Lea,1,NA,NA,NA,2,NA,NA,NA,NA
Mark,1,NA,NA,NA,2,NA,NA,NA,NA
David,1,NA,NA,NA,3,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun",4,IN
Edd,1,NA,NA,NA,3,Olive Bread,Tomato and Mozzarella,1,IN
Jasminder,1,NA,NA,NA,3,Focaccia,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots",5,IN
Miranda,1,NA,NA,NA,3,Walnut and Apricot Bread,"Lemon Iced Buns
Chocolate and Orange Buns",3,IN
Ruth,1,NA,NA,NA,3,Maple and Pecan Bread,"Chocolate and Orange Panettone
Cranberry Bagels",2,IN
Jonathan,1,NA,NA,NA,3,"Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun",6,OUT
Annetha,1,NA,NA,NA,3,NA,NA,NA,NA
Lea,1,NA,NA,NA,3,NA,NA,NA,NA
Louise,1,NA,NA,NA,3,NA,NA,NA,NA
Mark,1,NA,NA,NA,3,NA,NA,NA,NA
Edd,1,NA,NA,NA,4,Apple and Plum Pudding,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer",3,IN
Jasminder,1,NA,NA,NA,4,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble",2,IN
